Title,Topic,Post type,URL
gtfs2gps • Convert GTFS data into a data.table with GPS-like records in R,visualisation,package,https://github.com/ipeaGIT/gtfs2gps
"Introducción R, manipulación y visualización en R",visualisation,article,http://www.castrolab.org/isme/introR/introR.html
Searching for Spring: how to get data from the iNaturalist API in R | Eleanor,visualisation,article,https://www.eleanor-jackson.com/post/searching-for-spring/
rollRegres • R package for fast rolling and expanding linear regression models,visualisation,package,https://github.com/boennecd/rollRegres
Speeding up plotting of large data in base R • Clark Richards,visualisation,article,https://www.clarkrichards.org/2021/04/11/speeding-up-base-r-plots/
"datapasta • On top of spaghetti, all covered in cheese....",visualisation,package,https://github.com/milesmcbain/datapasta
preferably - a 'pkgdown' template • preferably,publishing,article,https://preferably.amirmasoudabdol.name/index.html
Esquisse R Package — Little Miss Data,visualisation,article,https://www.littlemissdata.com/fdf/esquisse
Corey Sparks's Blog: Using IPUMS USA for Estimation of Population Characteristics in Various Geographic Areas,visualisation,article,https://coreysparks.github.io/posts/2021-04-14-mapping-ipums-estimates/
Introducing ggirl,visualisation,article,https://jnolis.com/blog/introducing_ggirl/
Marginal effects and interaction terms - Grant R. McDermott,statistics,article,https://grantmcdermott.com/interaction-effects/
Open Source Tools,r-programming,article,https://www.robinlovelace.net/presentations/reproducibilitea.html
Curly Curly: How to pass bare variable arguments to things? | Credibly Curious,visualisation,article,https://www.njtierney.com/post/2019/07/06/jq-bare-vars/
Efficient Fitting of Linear and Generalized Linear Models • eflm,models,article,http://pacha.dev/eflm/
SDS375 • SDS 375 Data Visualization in R,visualisation,package,https://github.com/wilkelab/SDS375
Virtual Windows machine for checking R packages - The R Blog,visualisation,article,https://developer.r-project.org/Blog/public/2021/03/18/virtual-windows-machine-for-checking-r-packages/
"Informative priors for correlation matrices: An easy approach | Stephen R. Martin, PhD",statistics,article,http://srmart.in/informative-priors-for-correlation-matrices-an-easy-approach/
A2B of Data Science: Quantile Regression in AB Tests,visualisation,article,https://www.a2bofdatascience.com/2021/03/quantile-regression-in-ab-tests.html
Heatmapping My New York City Marathon Training | JLaw's R Blog,visualisation,article,https://jlaw.netlify.app/2021/04/01/heatmapping-my-new-york-city-marathon-training/
RSpectra • R Interface to the Spectra Library for Large Scale Eigenvalue and SVD Problems,visualisation,package,https://github.com/yixuan/RSpectra
Modeling Balls in Play Outcomes with an Ordinal Model | Exploring Baseball Data with R,visualisation,article,https://baseballwithr.wordpress.com/2021/03/31/modeling-balls-in-play-outcomes-with-an-ordinal-model/
"Unified and Automatic Theming of ggplot2, lattice, and base R Graphics • thematic",visualisation,article,https://rstudio.github.io/thematic/index.html
"Deep learning, false negatives/positives and predator-prey interactions",visualisation,article,https://oliviergimenez.github.io/prezDLoccupancy/
Sciencificity's Blog: sql-in-rmarkdown,visualisation,article,https://sciencificity-blog.netlify.app/posts/2021-03-27-sql-in-rmarkdown/
pewdata • Reproducible Retrieval of Pew Research Center Datasets in R,visualisation,package,https://github.com/fsolt/pewdata
Tutorial - Design Study in Solidworks with Data Analysis in R · [R]eliability,visualisation,article,https://rileyking.netlify.app/post/tutorial-design-study-in-solidworks-with-data-analysis-in-r/
Implement interactive heatmap from scratch - A Bioinformagician,shiny,article,https://jokergoo.github.io/2021/04/05/implement-interactive-heatmap-from-scratch/
DT: An R interface to the DataTables library,visualisation,article,https://rstudio.github.io/DT/
A modest proposal for matrix multiplication - Biased and Inefficient,publishing,article,https://notstatschat.rbind.io/2021/04/01/a-modest-proposal-for-matrix-multiplication/
Showcasing Your #rstats Skills with blogdown | Anthony Scotina,publishing,article,https://scotinastats.rbind.io/2021/03/31/showcasing-your-rstats-skills-with-blogdown/
Stream networks using R and GEOS | Fish & Whistle,spatial,article,https://fishandwhistle.net/post/2021/stream-networks-using-r-and-geos/
Harald Kliems: Dane County Migration Flows,visualisation,article,https://haraldkliems.netlify.app/posts/dane-county-migration-flows/
mschart • office charts from R,visualisation,package,https://github.com/ardata-fr/mschart
Tidyverse,visualisation,article,https://www.tidyverse.org/blog/2021/03/clock-0-1-0/
"Import, Clean and Update Data from the New Zealand Freshwater Fish Database • nzffdr",spatial,article,https://flee598.github.io/nzffdr/
Interface to fastai • fastai,visualisation,article,https://eagerai.github.io/fastai/
cdkr • Integrating R and the CDK,visualisation,package,https://github.com/CDK-R/cdkr
